impressions,campaign_id,account_name,campaign_name,ctr,clicks,adset_id,ad_id,cpc,cpm,adset_name,spend,date_start,conversions
468,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.777778,13,23845476576250149,23845476576220149,1.574615,43.739316,NRTV=AWR04_DylanAshland__CONV=purchase,20.47,2020-07-29 0:00:00,5
1933,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.86239,36,23845520339350149,23845520339390149,1.914444,35.654423,NRTV=AWR05_TikTokExplainer__CONV=purchase,68.92,2020-07-29 0:00:00,0
297,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],5.050505,15,23845394274510149,23845443237370149,1.228,62.020202,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,18.42,2020-07-29 0:00:00,15
224,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.892857,2,23844842610380149,23844842610300149,8.365,74.6875,[Content] All ATC / IC - 30 Days,16.73,2020-07-29 0:00:00,0
484,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.272727,11,23845474015460149,23845474022030149,1.279091,29.070248,NRTV=AWR01_productExplainer__CONV=purchase,14.07,2020-07-29 0:00:00,1
222,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.252252,5,23845520339350149,23845520339370149,1.08,24.324324,NRTV=AWR05_TikTokExplainer__CONV=purchase,5.4,2020-07-29 0:00:00,1
1459,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.152844,46,23845520445510149,23845520445530149,0.586304,18.485264,NRTV=AWR06_Naturalproduct__CONV=purchase,26.97,2020-07-28 0:00:00,0
501,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.39521,12,23845476576250149,23845476576230149,1.265833,30.319361,NRTV=AWR04_DylanAshland__CONV=purchase,15.19,2020-07-28 0:00:00,0
81,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],2.469136,2,23845059400960149,23845443198930149,0.675,16.666667,AUD=product_CONV=purchase_CC$550,1.35,2020-07-28 0:00:00,0
1735,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.899135,85,23845520496510149,23845520496530149,0.435647,21.342939,NRTV=AWR07_Natural__CONV=purchase,37.03,2020-07-28 0:00:00,4
992,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.520161,25,23845520445510149,23845520445540149,0.6812,17.167339,NRTV=AWR06_Naturalproduct__CONV=purchase,17.03,2020-07-28 0:00:00,0
1182,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],1.77665,21,23845485933310149,23845485933300149,1.781429,31.649746,AUD=Broad_CONV=purchase_CC$550,37.41,2020-07-28 0:00:00,0
363,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],1.101928,4,23844842610380149,23844842610320149,7.14,78.677686,[Content] All ATC / IC - 30 Days,28.56,2020-07-28 0:00:00,0
470,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0,0,23844842610380149,23844842610360149,,34.489362,[Content] All ATC / IC - 30 Days,16.21,2020-07-28 0:00:00,0
925,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.513514,14,23845520496510149,23845520496500149,1.555714,23.545946,NRTV=AWR07_Natural__CONV=purchase,21.78,2020-07-28 0:00:00,0
1065,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.877934,20,23845474015460149,23845474022030149,1.6155,30.338028,NRTV=AWR01_productExplainer__CONV=purchase,32.31,2020-07-28 0:00:00,0
4090,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.98533,163,23845476403290149,23845476403260149,0.677975,27.01956,NRTV=AWR03_OrganicChange__CONV=purchase,110.51,2020-07-28 0:00:00,0
612,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.431373,21,23845520496510149,23845520496520149,1.189524,40.816993,NRTV=AWR07_Natural__CONV=purchase,24.98,2020-07-28 0:00:00,0
930,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],5.268817,49,23845476576250149,23845476576240149,0.299184,15.763441,NRTV=AWR04_DylanAshland__CONV=purchase,14.66,2020-07-28 0:00:00,0
982,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.175153,41,23845476576250149,23845476576220149,0.84439,35.254582,NRTV=AWR04_DylanAshland__CONV=purchase,34.62,2020-07-28 0:00:00,0
752,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.994681,15,23845520445510149,23845520445550149,1.624667,32.406915,NRTV=AWR06_Naturalproduct__CONV=purchase,24.37,2020-07-28 0:00:00,0
666,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],0.900901,6,23845520339350149,23845520339370149,2.226667,20.06006,NRTV=AWR05_TikTokExplainer__CONV=purchase,13.36,2020-07-28 0:00:00,0
2019,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.971768,60,23845476403290149,23845476403270149,1.124167,33.407628,NRTV=AWR03_OrganicChange__CONV=purchase,67.45,2020-07-28 0:00:00,0
1278,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.86072,11,23844842610380149,23844842610250149,10.264545,88.348983,[Content] All ATC / IC - 30 Days,112.91,2020-07-28 0:00:00,0
684,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],2.48538,17,23845394274510149,23845443237370149,2.622941,65.190058,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,44.59,2020-07-28 0:00:00,0
1458,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.851852,27,23845520339350149,23845520339390149,1.657407,30.69273,NRTV=AWR05_TikTokExplainer__CONV=purchase,44.75,2020-07-28 0:00:00,0
885,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.937853,26,23845474015460149,23845476317950149,0.976154,28.677966,NRTV=AWR01_productExplainer__CONV=purchase,25.38,2020-07-28 0:00:00,2
110,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],1.818182,2,23845059400960149,23845443198940149,1.58,28.727273,AUD=product_CONV=purchase_CC$550,3.16,2020-07-28 0:00:00,0
646,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.321981,15,23845474015460149,23845476317930149,1.664,38.637771,NRTV=AWR01_productExplainer__CONV=purchase,24.96,2020-07-28 0:00:00,0
1062,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.919021,31,23845520445510149,23845520445520149,0.9,26.271186,NRTV=AWR06_Naturalproduct__CONV=purchase,27.9,2020-07-28 0:00:00,0
1882,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.400638,64,23845520496510149,23845520496540149,0.480938,16.354942,NRTV=AWR07_Natural__CONV=purchase,30.78,2020-07-28 0:00:00,0
959,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],1.355579,13,23845394274510149,23845443237380149,4.695385,63.649635,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,61.04,2020-07-28 0:00:00,0
414,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.140097,13,23845520339350149,23845520339360149,0.793846,24.927536,NRTV=AWR05_TikTokExplainer__CONV=purchase,10.32,2020-07-28 0:00:00,3
684,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],0.877193,6,23845485933310149,23845485933340149,2.351667,20.628655,AUD=Broad_CONV=purchase_CC$550,14.11,2020-07-28 0:00:00,0
465,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.516129,21,23845474015460149,23845476317940149,1.002381,45.268817,NRTV=AWR01_productExplainer__CONV=purchase,21.05,2020-07-28 0:00:00,0
1432,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.187151,17,23845520339350149,23845520339380149,1.761765,20.914804,NRTV=AWR05_TikTokExplainer__CONV=purchase,29.95,2020-07-28 0:00:00,0
449,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.668151,3,23844842610380149,23844842610300149,11.243333,75.122494,[Content] All ATC / IC - 30 Days,33.73,2020-07-28 0:00:00,0
409,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],1.222494,5,23844842610380149,23844842610360149,2.826,34.547677,[Content] All ATC / IC - 30 Days,14.13,2020-07-27 0:00:00,0
689,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.467344,17,23845474015460149,23845476317950149,1.002941,24.746009,NRTV=AWR01_productExplainer__CONV=purchase,17.05,2020-07-27 0:00:00,4
786,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.290076,18,23845520339350149,23845520339370149,1.154444,26.437659,NRTV=AWR05_TikTokExplainer__CONV=purchase,20.78,2020-07-27 0:00:00,0
1135,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.938326,22,23845520445510149,23845520445550149,1.613636,31.277533,NRTV=AWR06_Naturalproduct__CONV=purchase,35.5,2020-07-27 0:00:00,0
1348,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.002967,27,23845520339350149,23845520339390149,1.255926,25.155786,NRTV=AWR05_TikTokExplainer__CONV=purchase,33.91,2020-07-27 0:00:00,1
1040,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],1.730769,18,23845059400960149,23845443198940149,2.010556,34.798077,AUD=product_CONV=purchase_CC$550,36.19,2020-07-27 0:00:00,0
417,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.076739,17,23845520445510149,23845520445520149,0.704118,28.705036,NRTV=AWR06_Naturalproduct__CONV=purchase,11.97,2020-07-27 0:00:00,0
1061,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],1.602262,17,23845394274510149,23845443237370149,4.78,76.588124,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,81.26,2020-07-27 0:00:00,0
1731,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.004044,52,23845520496510149,23845520496540149,0.651346,19.566724,NRTV=AWR07_Natural__CONV=purchase,33.87,2020-07-27 0:00:00,0
736,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],1.086957,8,23845059400960149,23845443198930149,2.2375,24.320652,AUD=product_CONV=purchase_CC$550,17.9,2020-07-27 0:00:00,0
418,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],5.502392,23,23845476576250149,23845476576230149,0.632609,34.808612,NRTV=AWR04_DylanAshland__CONV=purchase,14.55,2020-07-27 0:00:00,0
609,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.612479,22,23845474015460149,23845476317930149,0.930455,33.612479,NRTV=AWR01_productExplainer__CONV=purchase,20.47,2020-07-27 0:00:00,0
1902,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.788644,15,23844842610380149,23844842610250149,9.970667,78.633018,[Content] All ATC / IC - 30 Days,149.56,2020-07-27 0:00:00,0
1101,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.724796,30,23845476403290149,23845476403260149,0.891,24.277929,NRTV=AWR03_OrganicChange__CONV=purchase,26.73,2020-07-27 0:00:00,4
1743,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.581756,45,23845520445510149,23845520445540149,0.828222,21.382674,NRTV=AWR06_Naturalproduct__CONV=purchase,37.27,2020-07-27 0:00:00,0
1176,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.166667,49,23845476403290149,23845476403270149,0.845918,35.246599,NRTV=AWR03_OrganicChange__CONV=purchase,41.45,2020-07-27 0:00:00,0
119,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],3.361345,4,23844842610380149,23844842610300149,3.2175,108.151261,[Content] All ATC / IC - 30 Days,12.87,2020-07-27 0:00:00,1
1184,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.942568,23,23845520445510149,23845520445530149,0.984348,19.121622,NRTV=AWR06_Naturalproduct__CONV=purchase,22.64,2020-07-27 0:00:00,0
336,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.785714,6,23845520496510149,23845520496520149,2.596667,46.369048,NRTV=AWR07_Natural__CONV=purchase,15.58,2020-07-27 0:00:00,0
1501,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.665556,25,23845520339350149,23845520339380149,1.358,22.618255,NRTV=AWR05_TikTokExplainer__CONV=purchase,33.95,2020-07-27 0:00:00,0
806,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.977667,24,23845520496510149,23845520496500149,0.794167,23.647643,NRTV=AWR07_Natural__CONV=purchase,19.06,2020-07-27 0:00:00,0
2495,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],0.801603,20,23845485933310149,23845485933340149,2.765,22.164329,AUD=Broad_CONV=purchase_CC$550,55.3,2020-07-27 0:00:00,0
716,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.513966,18,23845476576250149,23845476576220149,1.193889,30.013966,NRTV=AWR04_DylanAshland__CONV=purchase,21.49,2020-07-27 0:00:00,2
392,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.785714,7,23845474015460149,23845476317940149,2.015714,35.994898,NRTV=AWR01_productExplainer__CONV=purchase,14.11,2020-07-27 0:00:00,2.2
718,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],0.557103,4,23845520339350149,23845520339360149,4.555,25.376045,NRTV=AWR05_TikTokExplainer__CONV=purchase,18.22,2020-07-27 0:00:00,0
7767,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.579246,278,23845520496510149,23845520496530149,0.467698,16.740054,NRTV=AWR07_Natural__CONV=purchase,130.02,2020-07-27 0:00:00,0
807,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],6.071871,49,23845476576250149,23845476576240149,0.31449,19.095415,NRTV=AWR04_DylanAshland__CONV=purchase,15.41,2020-07-27 0:00:00,4.3
1430,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],2.097902,30,23845394274510149,23845443237380149,3.737333,78.405594,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,112.12,2020-07-27 0:00:00,1
230,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.434783,1,23844842610380149,23844842610320149,14.06,61.130435,[Content] All ATC / IC - 30 Days,14.06,2020-07-27 0:00:00,0
3696,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],0.974026,36,23845485933310149,23845485933300149,2.331944,22.713745,AUD=Broad_CONV=purchase_CC$550,83.95,2020-07-27 0:00:00,0
478,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.138075,15,23845474015460149,23845474022030149,0.915333,28.723849,NRTV=AWR01_productExplainer__CONV=purchase,13.73,2020-07-27 0:00:00,0
143,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.398601,2,23845520496510149,23845520496520149,3.09,43.216783,NRTV=AWR07_Natural__CONV=purchase,6.18,2020-07-26 0:00:00,2
1099,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],1.637853,18,23845394274510149,23845443237370149,4.172778,68.343949,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,75.11,2020-07-26 0:00:00,1
1651,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],1.150818,19,23845059400960149,23845443198940149,1.999474,23.010297,AUD=product_CONV=purchase_CC$550,37.99,2020-07-26 0:00:00,0
627,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.594896,10,23845474015460149,23845476317950149,1.607,25.629984,NRTV=AWR01_productExplainer__CONV=purchase,16.07,2020-07-26 0:00:00,0
999,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.302302,23,23845474015460149,23845476317930149,1.317391,30.33033,NRTV=AWR01_productExplainer__CONV=purchase,30.3,2020-07-26 0:00:00,8.6
338,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.662722,9,23845520339350149,23845520339360149,0.98,26.094675,NRTV=AWR05_TikTokExplainer__CONV=purchase,8.82,2020-07-26 0:00:00,0
141,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.964539,7,23845520496510149,23845520496500149,0.608571,30.212766,NRTV=AWR07_Natural__CONV=purchase,4.26,2020-07-26 0:00:00,0
224,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],0,0,23845520339350149,23845520339370149,,23.303571,NRTV=AWR05_TikTokExplainer__CONV=purchase,5.22,2020-07-26 0:00:00,0.6
37,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.702703,1,23845520445510149,23845520445520149,0.69,18.648649,NRTV=AWR06_Naturalproduct__CONV=purchase,0.69,2020-07-26 0:00:00,0
1983,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.471004,49,23845476403290149,23845476403270149,1.065918,26.33888,NRTV=AWR03_OrganicChange__CONV=purchase,52.23,2020-07-26 0:00:00,0
355,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.971831,7,23845520445510149,23845520445540149,1.14,22.478873,NRTV=AWR06_Naturalproduct__CONV=purchase,7.98,2020-07-26 0:00:00,0.5
360,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.333333,12,23845520496510149,23845520496540149,0.635833,21.194444,NRTV=AWR07_Natural__CONV=purchase,7.63,2020-07-26 0:00:00,0
420,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.952381,4,23844842610380149,23844842610360149,6.095,58.047619,[Content] All ATC / IC - 30 Days,24.38,2020-07-26 0:00:00,0
559,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.683363,15,23845520339350149,23845520339390149,1.024,27.477639,NRTV=AWR05_TikTokExplainer__CONV=purchase,15.36,2020-07-26 0:00:00,8
4872,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],1.313629,64,23845485933310149,23845485933300149,1.682656,22.103859,AUD=Broad_CONV=purchase_CC$550,107.69,2020-07-26 0:00:00,0.5
1728,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.835648,49,23845476576250149,23845476576220149,1.061633,30.104167,NRTV=AWR04_DylanAshland__CONV=purchase,52.02,2020-07-26 0:00:00,0
1233,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],1.62206,20,23845394274510149,23845443237380149,5.3835,87.323601,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,107.67,2020-07-26 0:00:00,0
2199,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.456116,76,23845476403290149,23845476403280149,0.820658,28.362892,NRTV=AWR03_OrganicChange__CONV=purchase,62.37,2020-07-26 0:00:00,0
584,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],0.856164,5,23845059400960149,23845443198930149,2.472,21.164384,AUD=product_CONV=purchase_CC$550,12.36,2020-07-26 0:00:00,0.8
645,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.100775,20,23845520496510149,23845520496530149,0.7535,23.364341,NRTV=AWR07_Natural__CONV=purchase,15.07,2020-07-26 0:00:00,1.5
149,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],1.342282,2,23844842610380149,23844842610300149,6.77,90.872483,[Content] All ATC / IC - 30 Days,13.54,2020-07-26 0:00:00,0
803,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.867995,15,23845474015460149,23845474022030149,1.61,30.07472,NRTV=AWR01_productExplainer__CONV=purchase,24.15,2020-07-26 0:00:00,3.6
2560,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],5.46875,140,23845476576250149,23845476576240149,0.271286,14.835938,NRTV=AWR04_DylanAshland__CONV=purchase,37.98,2020-07-26 0:00:00,0
1474,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.881954,13,23844842610380149,23844842610250149,11.036154,97.333786,[Content] All ATC / IC - 30 Days,143.47,2020-07-26 0:00:00,0
2550,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.411765,87,23845476403290149,23845476403260149,0.785632,26.803922,NRTV=AWR03_OrganicChange__CONV=purchase,68.35,2020-07-26 0:00:00,3
676,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.402367,23,23845476403290149,23845476403300149,1.42087,48.343195,NRTV=AWR03_OrganicChange__CONV=purchase,32.68,2020-07-26 0:00:00,1
1036,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.123552,22,23845476576250149,23845476576230149,1.31,27.818533,NRTV=AWR04_DylanAshland__CONV=purchase,28.82,2020-07-26 0:00:00,0
229,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.873362,2,23844842610380149,23844842610320149,7.955,69.475983,[Content] All ATC / IC - 30 Days,15.91,2020-07-26 0:00:00,0
406,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.477833,6,23845520339350149,23845520339380149,1.82,26.896552,NRTV=AWR05_TikTokExplainer__CONV=purchase,10.92,2020-07-26 0:00:00,0
1112,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.888489,21,23845474015460149,23845476317940149,2.348571,44.352518,NRTV=AWR01_productExplainer__CONV=purchase,49.32,2020-07-26 0:00:00,0
195,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.589744,7,23845520445510149,23845520445550149,0.938571,33.692308,NRTV=AWR06_Naturalproduct__CONV=purchase,6.57,2020-07-26 0:00:00,0
501,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.195609,11,23845520445510149,23845520445530149,1.109091,24.351297,NRTV=AWR06_Naturalproduct__CONV=purchase,12.2,2020-07-26 0:00:00,0
1984,23845030153230149,Sample,02_Prospecting_CostCaps$500_5.12.2020 [PROS],0.856855,17,23845485933310149,23845485933340149,2.358824,20.211694,AUD=Broad_CONV=purchase_CC$550,40.1,2020-07-26 0:00:00,0
1810,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.933702,35,23845476576250149,23845476576220149,1.300571,25.149171,NRTV=AWR04_DylanAshland__CONV=purchase,45.52,2020-07-25 0:00:00,0
